Season,Week,Contestant,Est_Fan_Votes,Certainty,Judge Score,Official Result,Model,Score_Judge_Tanh,Score_Fan_Tanh,Final_Score,Final_Rank,Original_Rank
4,3,John Ratzenberger,0.0911592994161801,0.1243532110091726,20.0,Safe,Improved,0.02592495351605701,0.011011306605932466,0.018468130060994736,8.0,9.5
4,3,Ian Ziering,0.0966638865721434,0.1243532110091742,24.0,Safe,Improved,0.5344883437698529,0.2479903109644254,0.3912393273671391,2.5,2.5
4,3,Clyde Drexler,0.0856547122602168,0.1243532110091741,16.0,Safe,Improved,-0.4964214336772972,-0.2272111067414924,-0.3618162702093948,10.0,11.0
4,3,Laila Ali,0.0925354462051709,0.1243532110091742,21.0,Safe,Improved,0.1669717800213189,0.071454402974756,0.11921309149803745,6.5,7.5
4,3,Apolo Anton Ohno,0.0952877397831526,0.1243532110091744,23.0,Safe,Improved,0.42500806508499195,0.19035515789095392,0.3076816114879729,5.0,5.0
4,3,Shandi Finnessey,0.0298707673060884,0.914603002502085,21.0,Eliminated,Improved,0.1669717800213189,-0.9907590811679121,-0.41189365057329663,11.0,9.5
4,3,Paulina Porizkova,0.1263010425354462,0.1243532110091741,0.0,Safe,Improved,-0.9930099007928576,0.9150324866419697,-0.03898870707544394,9.0,6.0
4,3,Heather Mills,0.0966638865721434,0.1243532110091742,24.0,Safe,Improved,0.5344883437698529,0.2479903109644254,0.3912393273671391,2.5,2.5
4,3,Billy Ray Cyrus,0.0925354462051709,0.1243532110091738,21.0,Safe,Improved,0.1669717800213189,0.071454402974756,0.11921309149803745,6.5,7.5
4,3,Joey Fatone,0.0966638865721434,0.1243532110091741,24.0,Safe,Improved,0.5344883437698529,0.2479903109644254,0.3912393273671391,2.5,2.5
4,3,Leeza Gibbons,0.0966638865721434,0.1243532110091748,24.0,Safe,Improved,0.5344883437698529,0.2479903109644254,0.3912393273671391,2.5,2.5
4,4,John Ratzenberger,0.088899521536392,0.1740842105263156,16.0,Safe,Improved,-0.13319868884162808,-0.0782846533085143,-0.10574167107507118,7.0,9.0
4,4,Ian Ziering,0.1015311004837605,0.1740842105263159,24.0,Safe,Improved,0.6095838313752473,0.39240426715993065,0.500994049267589,3.0,3.0
4,4,Clyde Drexler,0.087320574167971,0.1740842105263153,15.0,Safe,Improved,-0.23481238261899637,-0.13917154051919833,-0.18699196156909736,8.0,11.0
4,4,Laila Ali,0.0967942583784973,0.1740842105263158,21.0,Safe,Improved,0.3734391715381382,0.22577428773505065,0.2996067296365944,5.5,5.5
4,4,Apolo Anton Ohno,0.1046889952206026,0.1740842105263161,26.0,Safe,Improved,0.7253397859619896,0.49140406642960005,0.6083719261957948,2.0,2.0
4,4,Shandi Finnessey,0.1001609250257614,0.1740842105263159,0.0,Safe,Improved,-0.9486888926740258,0.34622907295374367,-0.3012299098601411,9.5,7.5
4,4,Paulina Porizkova,0.1001609250257614,0.1740842105263161,0.0,Safe,Improved,-0.9486888926740258,0.34622907295374367,-0.3012299098601411,9.5,7.5
4,4,Heather Mills,0.0999521531153394,0.1740842105263154,23.0,Safe,Improved,0.5391646274549187,0.3390362839074614,0.43910045568119005,4.0,4.0
4,4,Billy Ray Cyrus,0.0967942583784973,0.1740842105263156,21.0,Safe,Improved,0.3734391715381382,0.22577428773505065,0.2996067296365944,5.5,5.5
4,4,Joey Fatone,0.1078468899574447,0.174084210526316,28.0,Safe,Improved,0.8108089166879155,0.5791486191266991,0.6949787679073074,1.0,1.0
4,4,Leeza Gibbons,0.015850398709972,0.9024832535885168,16.0,Eliminated,Improved,-0.13319868884162808,-0.9943134621338626,-0.5637560754877453,11.0,10.0
4,5,John Ratzenberger,0.0943181818181818,0.2218909090909083,18.0,Safe,Improved,0.1741602154570309,0.12393688218830248,0.1490485488226667,6.0,6.0
4,5,Ian Ziering,0.1045454545454545,0.2218909090909081,24.0,Safe,Improved,0.6067839433279116,0.46078660338322036,0.533785273355566,4.0,4.0
4,5,Clyde Drexler,0.013703409090909,0.8921363636363634,13.0,Eliminated,Improved,-0.25796840908340757,-0.9929377912675036,-0.6254531001754555,11.0,9.5
4,5,Laila Ali,0.1113636363636363,0.2218909090909095,28.0,Safe,Improved,0.7840214095078408,0.6336336933333576,0.7088275514205993,2.0,2.0
4,5,Apolo Anton Ohno,0.1147727272727272,0.2218909090909092,30.0,Safe,Improved,0.8430650263242979,0.7024099144506554,0.7727374703874766,1.0,1.0
4,5,Shandi Finnessey,0.0876670454545454,0.2218909090909087,0.0,Safe,Improved,-0.8869899399433568,-0.11792187934535675,-0.5024559096443568,9.0,9.5
4,5,Paulina Porizkova,0.0876670454545454,0.2218909090909089,0.0,Safe,Improved,-0.8869899399433568,-0.11792187934535675,-0.5024559096443568,9.0,9.5
4,5,Heather Mills,0.0994318181818181,0.2218909090909088,21.0,Safe,Improved,0.4135487739927289,0.30174965768584433,0.3576492158392866,5.0,5.0
4,5,Billy Ray Cyrus,0.0926136363636363,0.2218909090909089,17.0,Safe,Improved,0.08775063977801255,0.0622082506855072,0.07497944523175987,7.0,7.0
4,5,Joey Fatone,0.10625,0.2218909090909089,25.0,Safe,Improved,0.6594231496026737,0.5084211012203808,0.5839221254115272,3.0,3.0
4,5,Leeza Gibbons,0.0876670454545454,0.2218909090909091,0.0,Safe,Improved,-0.8869899399433568,-0.11792187934535675,-0.5024559096443568,9.0,9.5
4,6,John Ratzenberger,0.0666980392156863,0.5770705882352927,19.0,Safe,Improved,0.2750821706846109,-0.5197088781100232,-0.12231335371270616,10.0,11.0
4,6,Ian Ziering,0.075521568627451,0.5770705882352944,24.0,Safe,Improved,0.5918736199346402,-0.3505263160073193,0.12067365196366042,4.0,6.0
4,6,Clyde Drexler,0.1353941176470588,0.577070588235294,0.0,Safe,Improved,-0.8428033846194657,0.7849836037870086,-0.028909890416228545,6.5,4.5
4,6,Laila Ali,0.0825803921568627,0.5770705882352942,28.0,Safe,Improved,0.7612150998775177,-0.195573612822588,0.28282074352746484,1.5,1.5
4,6,Apolo Anton Ohno,0.0825803921568627,0.5770705882352942,28.0,Safe,Improved,0.7612150998775177,-0.195573612822588,0.28282074352746484,1.5,1.5
4,6,Shandi Finnessey,0.1353941176470588,0.577070588235294,0.0,Safe,Improved,-0.8428033846194657,0.7849836037870086,-0.028909890416228545,6.5,4.5
4,6,Paulina Porizkova,0.1353941176470587,0.5770705882352942,0.0,Safe,Improved,-0.8428033846194657,0.7849836037870076,-0.028909890416229045,8.5,7.5
4,6,Heather Mills,1.3877787807814457e-17,0.9535668449197858,23.0,Eliminated,Improved,0.5376945102213423,-0.9738825339085995,-0.2180940118436286,11.0,10.0
4,6,Billy Ray Cyrus,0.0702274509803921,0.5770705882352941,21.0,Safe,Improved,0.41499488111030997,-0.4557880736458982,-0.02039659626779411,5.0,9.0
4,6,Joey Fatone,0.0808156862745098,0.5770705882352944,27.0,Safe,Improved,0.7256417605085429,-0.2355952826714344,0.24502323891855426,3.0,3.0
4,6,Leeza Gibbons,0.1353941176470587,0.5770705882352948,0.0,Safe,Improved,-0.8428033846194657,0.7849836037870076,-0.028909890416229045,8.5,7.5
4,7,John Ratzenberger,6.938893903907227e-17,0.96592851492269,22.5,Eliminated,Improved,0.5469703250875831,-0.9291197528481627,-0.1910747138802898,10.0,10.5
4,7,Ian Ziering,0.0554339805825243,0.7514090614886729,27.0,Safe,Improved,0.7356263189491785,-0.5680370527441834,0.08379463310249757,3.5,6.5
4,7,Clyde Drexler,0.145731067961165,0.7514090614886745,0.0,Safe,Improved,-0.769912162806493,0.7599821789658061,-0.004964991920343442,6.0,4.0
4,7,Laila Ali,0.0602883495145631,0.7514090614886726,29.5,Safe,Improved,0.808420588269664,-0.505309710358291,0.15155543895568652,1.5,1.5
4,7,Apolo Anton Ohno,0.0554339805825243,0.7514090614886713,27.0,Safe,Improved,0.7356263189491785,-0.5680370527441834,0.08379463310249757,3.5,6.5
4,7,Shandi Finnessey,0.1457310679611649,0.7514090614886728,0.0,Safe,Improved,-0.769912162806493,0.7599821789658052,-0.004964991920343886,8.0,8.0
4,7,Paulina Porizkova,0.145731067961165,0.7514090614886728,0.0,Safe,Improved,-0.769912162806493,0.7599821789658061,-0.004964991920343442,6.0,4.0
4,7,Heather Mills,0.1457310679611648,0.751409061488673,0.0,Safe,Improved,-0.769912162806493,0.7599821789658046,-0.0049649919203442194,9.0,9.0
4,7,Billy Ray Cyrus,0.0399,0.7514090614886724,19.0,Safe,Improved,0.34507780186886017,-0.7291400292959876,-0.19203111371356374,11.0,10.5
4,7,Joey Fatone,0.0602883495145631,0.7514090614886735,29.5,Safe,Improved,0.808420588269664,-0.505309710358291,0.15155543895568652,1.5,1.5
4,7,Leeza Gibbons,0.145731067961165,0.7514090614886735,0.0,Safe,Improved,-0.769912162806493,0.7599821789658061,-0.004964991920343442,6.0,4.0
